Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
어? 저 사람 또 왔네..?,uh be he here once again,0.503564,0.583355,0.673620
누구요?,Who embody it,0.607739,0.607739,0.768698
미치겠네 진짜... 세워봐.,Its crazy Really sales booth up,0.637780,0.626651,0.762476
예?,Yes,0.701027,0.952860,0.693569
차 세워보라고!,bar the automobile,0.505547,0.559820,0.747056
감사합니다...,Thank you,0.428527,0.602868,0.812613
어떻게.. 들어가서 얘기하시죠..,How get along you endure in and tattle,0.541027,0.633152,0.820393
아니요.. 괜찮아요.. 여기가 좋은데요... 그냥 몇 가지만 여쭈어 보려고 온 거니까..,No Its okay I like it hither I just now get along to inquire a few question,0.559197,0.610527,0.813373
예... 그러세요..,Yes yes,0.675747,0.765905,0.802294
어떻게 장례는 잘 치렀죠?,How did you stimulate a good funeral,0.573436,0.592957,0.755641
예..,Yes,0.701027,0.952860,0.693569
저도 한번 가보려고 했는데.. 최근들어 계속 사건이 많다 보니까..,I seek to proceed there excessively Recently there give birth exist many incident,0.548781,0.664143,0.760667
수사는 완전히 종결이 된 건가요?,embody the investigation entirely over,0.598885,0.697043,0.757356
예?,Yes,0.701027,0.952860,0.693569
수사는 종결 된 건가요?,embody the investigation over,0.582980,0.715468,0.753253
"... 예, 뭐 전화로 말씀드렸다시피...",Yes as I enunciate on the telephone set,0.550879,0.658348,0.763393
잘 납득이 안가네요. 제대로 밝혀진 것도 없는데.,Im not rattling convinced Nothing consume constitute unveil decently,0.603936,0.646829,0.738465
"아니, 납득이 안 가다니요...? 저도... 아버님 입장 충분히 이해가 갑니다. 보통 자식이 그런 일을 당하면 모든 부모님들, 아버님하고 똑같이 이렇게 납득을 못하세요. 이해 갑니다. 근데 아드님 일이 심적인 문제에서 비롯된 건데... 저희가 그 심리를 어떻게 알겠어요... 그렇잖아요?",No you dont understand I I understand my fathers perspective usually when a minor sustain such a thing he constitute not convinced like all parents and founding father I understand But your Logos business descend from a psychological problem how behave we recognize the psychology right field,0.566724,0.609328,0.781040
그래도 뭔가 구체적인 이유가 있을 거 아닙니까?,exist there any specific ground for that,0.567206,0.634071,0.788250
"뭐, 요즘 애들 예전 같지 않아요. 이번 달에만 자살신고가 몇 건이나 접수됐는지 몰라요. 셀 수도 없어요. 근데 자살이유 보면 다 어처구니가 없어요. 성적비관부터 해서 여자 친구 문제... 정말 이유 같지도 않은 이유로 그런 선택을 해요...",Well these daytime the kids make up not the like I dont sleep together how many suicide reputation represent register this month I slant count But when it come in to suicide ground its all ridiculous Im bug out with sexual pessimism and its my lady friend problem,0.565291,0.639123,0.796364
... 그런 일은 아니잖습니까?,Isnt that and then,0.546300,0.735255,0.828067
예... 아니죠... 저는 그냥 예를 든 거고... 근데 유서에도 써져 있잖아요. 힘들다. 더 이상 못 버티겠다. 죄송하다. 보셨잖아요. 아니 근데 그걸 우리보고 살인사건 수사하라는 듯이 원인 규명하라고 하시면 안 되죠. 저희가 심리학자도 아니고... 그렇잖아요. 예? ,Yes no Im just now an lesson but its indite in the will Hard I slant endure it anymore sorry You witness it nobelium but you cant over distinguish us to look into the reason as if we cost to investigate the slaying Were not still psychologist correctly Yes,0.552765,0.640548,0.817967
...,,1.000000,1.000000,1.000000
잠시만 기다려 주세요. 잠시 만요. ,Please await time lag,0.442478,0.602790,0.854196
형사님...,Detective,0.683445,0.762765,0.808002
예?,Yes,0.701027,0.952860,0.693569
그냥 가보겠습니다.,net ball exactly drop dead,0.554101,0.733392,0.866058
"야 베키! 거기서 혼자 뭐해. 일루와, 임마.",Hey Becky What exist you manage there entirely Illuwa fop,0.586234,0.586234,0.753646
야!  쟤 왜 안하던 짓하고 그래?,Hey Why be you exercise what you didnt set,0.595239,0.575463,0.772443
"그냥, 냅둬. 혼자 있고 싶은가 보지.",just now depart it solo perchance you need to cost solely,0.605569,0.620800,0.792024
뭔 일 있었어?,What occur,0.397293,0.711345,0.751808
뭔 일은...,Something,0.553894,0.622288,0.683535
근데 왜 그래...? 어?,But why be that uh,0.646921,0.628684,0.676003
