Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
어? 저 사람 또 왔네..?,uh cost he hither again,0.667846,0.667846,0.738464
누구요?,Who embody it,0.500252,0.421663,0.804211
미치겠네 진짜... 세워봐.,Its crazy Really sales booth up,0.655737,0.655737,0.756246
예?,Yes,0.701027,0.952860,0.693569
차 세워보라고!,block the cable car,0.454367,0.611111,0.797047
감사합니다...,Thank you,0.428527,0.602868,0.812613
어떻게.. 들어가서 얘기하시죠..,How get along you get going in and talk,0.651310,0.674305,0.784015
아니요.. 괜찮아요.. 여기가 좋은데요... 그냥 몇 가지만 여쭈어 보려고 온 거니까..,No Its okay I like it hither I scarce get to need a few interrogation,0.601528,0.619734,0.819934
예... 그러세요..,Yes yes,0.675747,0.765905,0.802294
어떻게 장례는 잘 치렀죠?,How did you get a good funeral,0.629987,0.630316,0.774054
예..,Yes,0.701027,0.952860,0.693569
저도 한번 가보려고 했는데.. 최근들어 계속 사건이 많다 보니까..,I render to proceed there also late there give birth exist many incidents,0.581458,0.605491,0.762662
수사는 완전히 종결이 된 건가요?,be the investigating totally over,0.551873,0.675628,0.794310
예?,Yes,0.701027,0.952860,0.693569
수사는 종결 된 건가요?,be the investigating over,0.598871,0.715785,0.771972
"... 예, 뭐 전화로 말씀드렸다시피...",Yes as I enjoin on the sound,0.453904,0.646087,0.843829
잘 납득이 안가네요. 제대로 밝혀진 것도 없는데.,Im not real convinced zilch get been uncover decently,0.610892,0.668141,0.775450
"아니, 납득이 안 가다니요...? 저도... 아버님 입장 충분히 이해가 갑니다. 보통 자식이 그런 일을 당하면 모든 부모님들, 아버님하고 똑같이 이렇게 납득을 못하세요. 이해 갑니다. 근데 아드님 일이 심적인 문제에서 비롯된 건데... 저희가 그 심리를 어떻게 알겠어요... 그렇잖아요?",No you dont understand I I understand my don place commonly when a baby sustain such a thing he embody not convinced like all parent and Father-God I understand But your sons line get from a psychological problem how get along we get laid the psychological science right field,0.584523,0.623631,0.786647
그래도 뭔가 구체적인 이유가 있을 거 아닙니까?,Is there any specific intellect for that,0.528023,0.696879,0.804784
"뭐, 요즘 애들 예전 같지 않아요. 이번 달에만 자살신고가 몇 건이나 접수됐는지 몰라요. 셀 수도 없어요. 근데 자살이유 보면 다 어처구니가 없어요. 성적비관부터 해서 여자 친구 문제... 정말 이유 같지도 않은 이유로 그런 선택을 해요...",comfortably these day the kid make up not the like I dont jazz how many suicide study be register this month I cant counting But when it hail to suicide grounds its all ridiculous Im bulge with sexual pessimism and its my lady friend problem,0.588265,0.626219,0.784736
... 그런 일은 아니잖습니까?,Isnt that indeed,0.628930,0.760621,0.804178
예... 아니죠... 저는 그냥 예를 든 거고... 근데 유서에도 써져 있잖아요. 힘들다. 더 이상 못 버티겠다. 죄송하다. 보셨잖아요. 아니 근데 그걸 우리보고 살인사건 수사하라는 듯이 원인 규명하라고 하시면 안 되죠. 저희가 심리학자도 아니고... 그렇잖아요. 예? ,Yes no Im just an instance but its indite in the will Hard I tilt endure it any longer sorry You take in it No but you slant recount us to investigate the case as if we exist to investigate the slaying Were not still psychologist decent Yes,0.577806,0.654251,0.808452
...,,1.000000,1.000000,1.000000
잠시만 기다려 주세요. 잠시 만요. ,Please wait hold,0.304089,0.586807,0.903711
형사님...,Detective,0.683445,0.762765,0.808002
예?,Yes,0.701027,0.952860,0.693569
그냥 가보겠습니다.,Lets just get,0.528315,0.766753,0.855829
"야 베키! 거기서 혼자 뭐해. 일루와, 임마.",Hey Becky What exist you manage there entirely Illuwa clotheshorse,0.502962,0.599676,0.768390
야!  쟤 왜 안하던 짓하고 그래?,Hey Why be you act what you didnt set,0.548707,0.588132,0.730940
"그냥, 냅둬. 혼자 있고 싶은가 보지.",scarce depart it solo Maybe you need to be solely,0.537710,0.630485,0.777580
뭔 일 있었어?,What find,0.557025,0.760969,0.710395
뭔 일은...,Something,0.553894,0.622288,0.683535
근데 왜 그래...? 어?,But why be that uh,0.682745,0.642064,0.705104
뭐가 왜 그래야?,What and why,0.381731,0.637130,0.801530
분위기 이상하잖아... 너네끼리 뭔 일 있었던 거 아니야?,The standard pressure exist strange Isnt there something between you,0.604326,0.659319,0.741403
그런 거 없어... ,nil like that,0.694803,0.821886,0.726765
... ,,1.000000,1.000000,1.000000
"야, 종 쳤어. 너네 반으로 가. 신경 쓰지말고.",Hey I gain the bell fling to your class Dont thinker,0.633167,0.686976,0.763115
"얼른 올라가, 뭐해?",get up speedily what personify you practice,0.429023,0.599832,0.823584
무슨 일 때문에 오셨죠?,What exist you exercise for,0.708081,0.708081,0.712840
예...,Yes,0.701027,0.952860,0.693569
학부모세요?,Are you a parent,0.547809,0.547809,0.756903
예... 선생님 뵙고 싶어서 그런데...,Yes I need to attend you but,0.545212,0.684215,0.821329
지금 방학이라 안계시죠.,You be not on vacation instantly,0.623913,0.632625,0.751600
...,,1.000000,1.000000,1.000000
행정실로 한번 가보세요. 급한 일이시면 그쪽 가서 한번 통화라도 해보세요.,blend in to the administrative post If its urgent ecstasy over there and pee-pee a song,0.580831,0.612107,0.774099
어디로 가면 되죠...?,Where can I endure,0.577400,0.650143,0.800201
"예... 아니요... 그냥 제가 선생님 댁으로 찾아뵙겠습니다. 아니요... 괜찮습니다, 정말... 괜히 수고스럽게 밖에 나오실 필요는 없으세요. 예, 예... 알겠습니다.",Yes No Im scarce run low to natter you No Its okay rattling You dont accept to conk out effortlessly Yes yes I examine,0.469871,0.644818,0.843636
뭐하는 거야?,What be you get along,0.607812,0.604512,0.745891
가방 돌려받고 싶으면 이따 찾으러 와.,If you need to take your old bag backwards get along here afterwards,0.514629,0.616188,0.759122
저번같이 또 안 오면 이 가방 불 질러 버릴 거니까.,If you dont do back like last clock time complaint waste this dish,0.587084,0.630186,0.731792
베키! 왜 이렇게 늦게 왔어... 안 오는 줄 알았잖아... 어? 계속 기다리게 만들래?,Becky Why did you get along indeed late I cogitate you werent get along huh Would you like to continue waiting,0.622854,0.644682,0.794245
"야, 보고 싶었잖아... 두 번 다시 이렇게 늦지마. 네 가방 태웠다.",Hey I leave out you Dont be excessively late again I combust your grip,0.610246,0.620323,0.758133
...,,1.000000,1.000000,1.000000
"뻥이야, 임마. 내가 설마 네 가방을 버렸겠냐? 친구 가방을...어?",Thats it dude Did I ever confound away your dish A friend suitcase uh,0.614863,0.667920,0.786252
어... 어...,Uh Uh,0.717157,0.717157,0.506135
야... 베키...,Hey Becky,0.727265,0.727265,0.809974
어...,uh,0.717157,0.717157,0.506135
재밌어?,fun,0.431730,0.723315,0.721277
...,,1.000000,1.000000,1.000000
재밌냐고... 왜 실실 쪼개? 어?,Its play Why split the thread uh,0.564055,0.688920,0.747121
아니야...,no,0.179473,0.576940,0.711230
