Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
아야 ~ ,Ouch ~,0.571548,0.697850,0.619948
뭐가 웃겨 이것들아 아파죽겠는데...,What's funny is that these things will hurt ...,0.574470,0.650356,0.730696
괜찮아? 어디 봐?,OK? Where do you look?,0.480723,0.448948,0.770042
아 ~ 괜찮아 ,Ah ~ it's okay,0.538362,0.641591,0.764990
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,I think this is a sloppy ~ earthquake.,0.576193,0.677298,0.777013
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha ~ I had a dream .... ha What are you dreaming like?,0.626120,0.626070,0.776989
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These reds ... They're coming in on the last day of the exam. Myeonghyo! That's only one ....,0.592609,0.635877,0.788147
웬 양이 이렇게 많아? ,How many are there?,0.484442,0.603608,0.759847
이게 진짜 죽을래? 이거나 도와줘 ,Will this really die? Or help me,0.508621,0.595807,0.825781
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,"Ah, my stomach ah ~ Don't eat ramen yesterday. Myeong-hyo, come walk to the toilet. Oh~",0.555230,0.577498,0.792926
아 똥.... 야 좀 빨리 나와 . 아아 !!,"Oh shit ... Hey, come out a little faster. Ah !!",0.532896,0.622181,0.743914
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,"Someone help me. Today, red pepper comes in and is nervous. hehe",0.492464,0.604099,0.799686
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,"Lee Myeong-hyo .. After seeing your work, I left you dead ...",0.466631,0.512883,0.766368
너 그러다 싸겠다. ,You will be cheap.,0.514202,0.616224,0.781197
야!,Hey!,0.323217,0.323217,0.540353
응 영양제 먹었어. 엄마. 응 알았어... ,"Yes, I took a nutritional supplement. Mom. yea, I got it...",0.548649,0.685850,0.804569
전화 좀 나가서 받을래?,Would you like to go out and answer the phone?,0.545500,0.589374,0.727698
엄마 끊어  남 상관 말고 니 할일이나 해,"Don't care about your mom, do your job",0.456066,0.586407,0.807992
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,"Are you alone here? I'm worried, so go out and call me.",0.443854,0.559647,0.821952
엄마 없는 건 니 사정이지 나한테 왜 그래,"It's your situation without a mother, why do you do that to me",0.613381,0.580591,0.752352
뭐 이 새끼야? ,What is this kid?,0.688380,0.711644,0.791085
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,Let the river be quiet. There are people who study ...,0.544783,0.581175,0.806552
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,Are you guys complaining to me that I'm a child who has a gold spoon in my mouth?,0.557311,0.606879,0.763696
말이 좀 심하다.,I'm a little speechless.,0.572503,0.556512,0.698043
엄마 놓고 이상한 소리 해댄 건 니들이야,It's you who made a strange noise over your mother.,0.521366,0.567179,0.756001
내가 언제 엄마를 걸고 넘어졌니? ,When did I fall on my mother?,0.446233,0.567141,0.833058
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,"At school, you're all elite, spreading strange words among yourself.",0.487603,0.646794,0.834430
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,Do some hiding. Ugly ... It's true that you don't have a mother.,0.532593,0.580137,0.769456
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,"Since these are punished even by the teachers, there is nothing to lose!",0.652214,0.670287,0.756300
그거야 능력이지... ,That's the ability ...,0.644769,0.749357,0.696296
아니지 편법이지,"No, it's a shortcut",0.544886,0.649821,0.695939
너랑 상대하는 시간이 아깝다. 선생님한테 그대로 얘기해 줄까?,It's a waste of time dealing with you. Would you like to talk to the teacher?,0.545814,0.656489,0.807248
