Original(Korean),Our Translation(google trans),comp1 score,comp2 score,comp3 score
아야 ~ ,Ouch,0.571548,0.697850,0.619948
뭐가 웃겨 이것들아 아파죽겠는데...,Whats funny exist that these things will injure,0.649409,0.690215,0.742498
괜찮아? 어디 봐?,Sooner State Where set you search,0.456889,0.646838,0.834492
아 ~ 괜찮아 ,Ah its okay,0.538362,0.641591,0.764990
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,I guess this exist a sloppy earthquake,0.656863,0.661356,0.754487
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha I had a dream ha What are you dreaming like,0.626120,0.626070,0.776989
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These Bolshevik Theyre descend in on the last daytime of the test Myeonghyo Thats only one,0.597840,0.645999,0.753830
웬 양이 이렇게 많아? ,How many exist there,0.640930,0.697372,0.714247
이게 진짜 죽을래? 이거나 도와줘 ,Will this rattling exit Or serve me,0.590724,0.679142,0.781211
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,Ah my belly ah Dont eat ramen yesterday Myeonghyo seed pass to the pot Oh,0.548957,0.602188,0.819344
아 똥.... 야 좀 빨리 나와 . 아아 !!,Oh dirt Hey come out a short quicker Ah,0.528138,0.621551,0.788211
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,soul aid me Today red black pepper get along in and exist neural hehe,0.581672,0.623325,0.788294
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,Spike Lee Myeonghyo After project your workplace I allow you dead,0.530926,0.589809,0.757586
너 그러다 싸겠다. ,You will exist inexpensive,0.585723,0.675393,0.751834
야!,Hey,0.323217,0.323217,0.540353
응 영양제 먹었어. 엄마. 응 알았어... ,Yes I engage a nutritional supplement mum yea I start it,0.524722,0.692162,0.806861
전화 좀 나가서 받을래?,Would you like to conk out out and respond the headphone,0.490732,0.570287,0.813053
엄마 끊어  남 상관 말고 니 할일이나 해,Dont tending about your mama set your chore,0.583291,0.609704,0.787783
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,Are you solely hither Im interest and then conk out out and shout out me,0.616623,0.614181,0.774103
엄마 없는 건 니 사정이지 나한테 왜 그래,Its your situation without a mother why do you do that to me,0.613381,0.580591,0.752352
뭐 이 새끼야? ,What is this kid,0.688380,0.711644,0.791085
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,Let the river constitute quiet There are people who study,0.630696,0.538448,0.783958
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,Are you jest at plain to me that Im a nipper who get a gold spoon in my back talk,0.559611,0.596190,0.769534
말이 좀 심하다.,Im a short speechless,0.563554,0.563554,0.668335
엄마 놓고 이상한 소리 해댄 건 니들이야,Its you who draw a strange noise over your female parent,0.537665,0.575974,0.706496
내가 언제 엄마를 걸고 넘어졌니? ,When did I tumble on my female parent,0.729553,0.658300,0.744386
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,At school day youre all elite disseminate strange tidings among yourself,0.568473,0.692101,0.837922
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,make some hiding Ugly Its true that you dont have a female parent,0.629829,0.641985,0.744787
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,Since these are punished even by the teachers there is nothing to lose,0.652214,0.670287,0.756300
그거야 능력이지... ,Thats the ability,0.644769,0.749357,0.696296
아니지 편법이지,No its a cutoff,0.562434,0.636719,0.751402
너랑 상대하는 시간이 아깝다. 선생님한테 그대로 얘기해 줄까?,Its a waste product of time dealing with you Would you like to talk to the instructor,0.604379,0.657420,0.771876
육성회장님 한테 얘기하는 게 아니구?,Youre not talking to President Foster Sung,0.594375,0.630860,0.772983
억울하면 넌 강현한테 일러. ,If it is unfair you will tell Kang Hyun,0.601444,0.655631,0.740766
너 되게 유치하구나.,You equal indeed childish,0.548244,0.656538,0.768157
"야야 주번, 일루 와~ 이거 장난감 핸드폰 아니야? 다시 가져와 임마",Hey lord add up on Isnt this a plaything headphone Bring it backward fop,0.557182,0.585960,0.775113
아 새끼 거 냄새난다. 임마~ 얼마나 마신거야?,Oh it smells like a baby How long take in you been drinking,0.636013,0.647760,0.730633
김세임  땜에 죽도록 마셨어요. 중간에 도망가면 어떡해요.,I snuff it because of Kim Seim What to practice if you track down aside,0.566182,0.643044,0.782903
시험문제 검수하느라고 전날 날 꼬박 샜어 너무 피곤하더라고.,I represent therefore tired that I stir up up the daytime before tally the test interrogation,0.562788,0.593512,0.729117
