Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
잠깐만......,Wait a minute......,0.554884,0.554884,0.685690
마지막으로 묻고 싶은 게 있어요. 이름이... 뭐에요? 이름이 뭐냐구요~!! ,Last thing I want to ask. What is your name? What is your name~!!,0.490713,0.584140,0.807773
1막은 엘리베이션 등장이니까 위치에 정확하게 서주세요. ,"Act 1 is the appearance of an elevator, so please stand in the correct position.",0.636824,0.636824,0.713554
걔가 누군데? 없는 애를 있다 치라는 거야? ,Who is she? Are you saying you have a missing child?,0.549654,0.602919,0.754484
"아이, 또 왜 이러세요. ","Child, why are you doing this again?",0.423849,0.648896,0.788395
"그 말을 믿니? 꼬꼬마, 자기 무대감독 맞아? ","Do you believe that? Little kid, are you the stage director right?",0.521530,0.589841,0.783746
꼬꼬마가 뭐예요? ,What is a kid?,0.368361,0.532996,0.813103
"몰라도 돼, 이 자식아!  왜?","You don't need to know, child! Why?",0.605101,0.605101,0.807035
채리 도착했대요. 차에서 옷만 갈아입고 온다거든요. ,Charry has arrived. I only change clothes in the car.,0.541496,0.630412,0.785196
자. 자. 전주 4마디 전부터 시작합니다. ,character. character. It starts 4 weeks ago.,0.564252,0.625263,0.763882
"좀, 쉬자.  기다렸단 듯 시작하는 거, 좀 그렇잖아? ","Take a break. Starting like you've been waiting, isn't it?",0.579290,0.605606,0.770482
　십 분 브레이크. ,Break 10 minutes.,0.547058,0.636360,0.728387
"아, 꼬꼬마 아니, 감독님.  나, 라떼 땡기는데... ","Oh, no kid, director. I'm getting latte...",0.543794,0.662088,0.851122
그럼요. ,of course.,0.646084,0.576939,0.556329
열라 뜨거운 라떼요. ,Open hot latte.,0.470699,0.539206,0.796999
작업복도 잘 어울리네요. ,The work clothes look good too.,0.487617,0.671501,0.737131
네?  ! ,Yeah? !,1.000000,1.000000,0.843826
여기서 뭐 하세요?  저희 약속 했었......어요? ,What are you doing here? We promised... did you?,0.463788,0.583483,0.807784
네.  아니요. 오늘은 아니에요. ,Yes. no. Not today.,0.595098,0.744159,0.849378
그러니까요. 오늘 비행인 줄 알았는데...,Because it is. I thought it was a flight today...,0.568736,0.649597,0.769954
"바쁜데 왔죠, 제가?","I'm busy, am I?",0.474960,0.485915,0.842460
5분 있어요. ,I have 5 minutes.,0.527986,0.599669,0.705438
저도 10분밖에 없어요.  ,I only have 10 minutes.,0.512013,0.593259,0.780630
"응, 우형아... 그래, 갈게... ","Yes, Woohyun... Yes, I'll go...",0.640487,0.680756,0.784760
떠나기 전에 주고 가고 싶어서 왔어요. 영화 ‘티파니에서 아침을’ 좋아한댔죠?,I came because I wanted to give it before I left. You said you liked the movie ‘Morning at Tiffany’?,0.636908,0.627479,0.745685
티파니... 오드리 햅번...  나랑은 안 어울려요. ,Tiffany... Audrey Hepburn... It doesn't suit me.,0.642986,0.559703,0.768536
"껴 보면, 알게 되겠죠. ","Cuddle, you'll know.",0.453481,0.661573,0.890550
전에도 말했지만 전 아직...,"I said it before, but I still...",0.563921,0.630160,0.803882
5분 참 빨리 간다. ,It goes very quickly in 5 minutes.,0.434999,0.581753,0.788800
아-! ,Ah-!,1.000000,1.000000,1.000000
지우씨!  이거......,Jiwoo! this......,0.713572,0.742180,0.707537
"아휴, 고객님~ 무비자 입국 시행 된지가 언젠데요~ ","Ah, customer~ It's been a while since the arrival of a visa-free entry",0.603780,0.603780,0.705572
"실종, 납치, 폭력, 강도, 마약...... ","Missing, kidnapping, violence, robbery, drugs...",0.620688,0.632821,0.716756
요즘엔 폭탄 테러까지 일어납니다. 거기다 부에노스아이레스로 ,"Nowadays, even bombings occur. Plus to Buenos Aires",0.554740,0.641823,0.816429
자네가 무슨 인터폴이야? 이런 걸 왜 모아?!,What Interpol are you? Why collect this?!,0.553440,0.484815,0.773304
전 그저 고객님들께 현지 안전에 대한 최소한의 정보를 드리고자...,I just want to give you minimal information on local safety...,0.550352,0.661310,0.807719
"그러니까 자네가 그걸 왜 걱정 하냐구! 거기 치안은 거기 시장이 해결하는 거고, 자네는,  관능의 탱고, ","So why are you worried! The security there is the market there, and you, the sensual tango,",0.550627,0.642190,0.841172
그래도 알 건 알아야... ,I still need to know...,0.587580,0.681628,0.801940
요즘 회사 감축 때문에 난린 거 알지?  가 봐. 		,You know you've been struggling with the company cut these days? Go.,0.537662,0.639804,0.765934
프랑스 뭐?,French what?,0.476204,0.487008,0.702115
예? 에... 에펠탑 ,Yes? Eh... Eiffel Tower,0.694746,0.806763,0.781843
브라질 뭐?,Brazil what?,0.473370,0.580071,0.701503
쌈바!,Samba!,0.886863,0.886863,0.937530
인도네시아.,Indonesia.,0.842809,0.753697,0.678183
. 쓰나미? ,. Tsunami?,0.399078,0.707231,0.866344
