Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
잠깐만......,Wait a minute,0.554884,0.554884,0.685690
마지막으로 묻고 싶은 게 있어요. 이름이... 뭐에요? 이름이 뭐냐구요~!! ,Last thing I want to ask What exist your gens What is your name,0.569763,0.611945,0.769133
1막은 엘리베이션 등장이니까 위치에 정확하게 서주세요. ,Act 1 is the appearance of an elevator so please stand in the correct position,0.636824,0.636824,0.713554
걔가 누군데? 없는 애를 있다 치라는 거야? ,Who is she Are you saying you have a missing child,0.549654,0.602919,0.754484
"아이, 또 왜 이러세요. ",kid why are you get along this once more,0.421694,0.654681,0.821142
"그 말을 믿니? 꼬꼬마, 자기 무대감독 맞아? ",set you believe that Little small fry cost you the stagecoach manager right,0.521326,0.662773,0.777915
꼬꼬마가 뭐예요? ,What follow a small fry,0.502208,0.502208,0.702530
"몰라도 돼, 이 자식아!  왜?",You dont need to know child Why,0.605101,0.605101,0.807035
채리 도착했대요. 차에서 옷만 갈아입고 온다거든요. ,Charry has arrived I only change clothes in the car,0.541496,0.630412,0.785196
자. 자. 전주 4마디 전부터 시작합니다. ,character character It starts 4 weeks ago,0.564252,0.625263,0.763882
"좀, 쉬자.  기다렸단 듯 시작하는 거, 좀 그렇잖아? ",Take a break Starting like youve been waiting isnt it,0.579290,0.605606,0.770482
　십 분 브레이크. ,Break 10 minutes,0.547058,0.636360,0.728387
"아, 꼬꼬마 아니, 감독님.  나, 라떼 땡기는데... ",Oh no kid director Im getting latte,0.543794,0.662088,0.851122
그럼요. ,of course,0.646084,0.576939,0.556329
열라 뜨거운 라떼요. ,receptive hot latte,0.692362,0.629512,0.741707
작업복도 잘 어울리네요. ,The work clothes calculate good too,0.573664,0.679500,0.741207
네?  ! ,Yeah,1.000000,1.000000,0.843826
여기서 뭐 하세요?  저희 약속 했었......어요? ,What exist you doing here We promised did you,0.594158,0.588876,0.792202
네.  아니요. 오늘은 아니에요. ,Yes no Not today,0.595098,0.744159,0.849378
그러니까요. 오늘 비행인 줄 알았는데...,Because it is I thought it was a flight today,0.568736,0.649597,0.769954
"바쁜데 왔죠, 제가?",Im busy follow I,0.449590,0.507938,0.829649
