Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
잠깐만......,Wait a hour,0.388670,0.468684,0.767160
마지막으로 묻고 싶은 게 있어요. 이름이... 뭐에요? 이름이 뭐냐구요~!! ,Last thing I need to inquire What represent your public figure What is your name,0.549021,0.602985,0.750507
1막은 엘리베이션 등장이니까 위치에 정확하게 서주세요. ,human action 1 cost the show of an lift so please stall in the right spot,0.639450,0.629430,0.743549
걔가 누군데? 없는 애를 있다 치라는 거야? ,Who represent she Are you tell you stimulate a missing shaver,0.592232,0.636906,0.737331
"아이, 또 왜 이러세요. ",nestling why constitute you act this once more,0.366361,0.660705,0.874808
"그 말을 믿니? 꼬꼬마, 자기 무대감독 맞아? ",get along you believe that Little Thomas Kyd embody you the leg managing director compensate,0.437865,0.631746,0.844102
꼬꼬마가 뭐예요? ,What be a nipper,0.463768,0.507257,0.821057
"몰라도 돼, 이 자식아!  왜?",You dont require to jazz kid Why,0.536983,0.586119,0.791543
채리 도착했대요. 차에서 옷만 갈아입고 온다거든요. ,Charry own arrive I exclusively switch clothes in the auto,0.559794,0.678850,0.761149
자. 자. 전주 4마디 전부터 시작합니다. ,graphic symbol graphic symbol It lead off 4 week ago,0.524902,0.698831,0.748240
"좀, 쉬자.  기다렸단 듯 시작하는 거, 좀 그렇잖아? ",subscribe to a fault get down like youve been hold back isnt it,0.649725,0.649725,0.759707
　십 분 브레이크. ,geological fault 10 minutes,0.522226,0.665182,0.764929
"아, 꼬꼬마 아니, 감독님.  나, 라떼 땡기는데... ",Oh no Thomas Kyd manager Im bewilder latte,0.609916,0.587158,0.801604
그럼요. ,of row,0.326593,0.614848,0.737683
열라 뜨거운 라떼요. ,opened hot latte,0.502530,0.576581,0.790794
작업복도 잘 어울리네요. ,The work wearing apparel see good too,0.521228,0.583652,0.708654
네?  ! ,Yeah,1.000000,1.000000,0.843826
여기서 뭐 하세요?  저희 약속 했었......어요? ,What exist you act here We prognosticate cause you,0.616607,0.599077,0.771571
네.  아니요. 오늘은 아니에요. ,Yes no Not today,0.595098,0.744159,0.849378
