Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
......,......,1.000000,1.000000,1.000000
먼지만 보면 짜증나.,Looking at the dust is annoying.,0.634996,0.667681,0.767410
청소 다시 하겠습니다.,I will clean again.,0.432270,0.669265,0.834223
청소는 나중에 하고 ... 이거부터 좀 버렸으면 좋겠는데.,I'll do the cleaning later... I hope I've thrown away this one.,0.499390,0.599799,0.802819
이거는 ...  포르말리인데 ...,This is... formaly...,0.510088,0.671080,0.750549
정확히 ‘포름알데히드’ 죠. 더 정확하게 말하면 ‘먼지낀 포름알데히드’,"It's exactly'formaldehyde'. To be more precise,'dusty formaldehyde'",0.496962,0.667472,0.799118
...,...,1.000000,1.000000,1.000000
짜증나. 죄다 싱크대에 갖다 부어버려.,it's annoying. Put it all in the sink and pour it.,0.659379,0.704271,0.744212
예?,Yes?,0.701027,0.952860,0.693569
전부 폐기처분 하라구요.,Dispose of them all.,0.551630,0.566555,0.828188
아니 저 그게 아니라 ... 이건 독국물이라서 규정상 ...,"No, it's not that... because it's poisonous...",0.527688,0.662255,0.827321
그냥 하수구에 부으면 돼요.,Just pour it into the sewer.,0.482140,0.568736,0.829110
하수구에 버리면 한강으루 흘러들어갑니다.,"If you throw it in the sewer, it flows into the Han River.",0.557711,0.610795,0.762080
그래요. 한강에다 버리자구.,Yes. Let's throw it off the Han River.,0.585695,0.585695,0.725692
"이건 암을 유발하구, 임신 장애두 일으키는 독극물 ...","It's a cancer-causing, poisoning disorder that causes pregnancy disorders...",0.610309,0.612204,0.739690
한강 크잖아. 태평양에 오줌 한 번 눴다구 바닷물이 노래지나?,The Han River is big. Have you urinated once in the Pacific Ocean?,0.461959,0.595739,0.776453
......,......,1.000000,1.000000,1.000000
명령대로 해요.,Do it as ordered.,0.526614,0.558646,0.803524
... 뭐야 이게 ? ,... what is this ?,0.685820,0.685820,0.765921
상당히 찝찝하게 생겼네 ...,It looks pretty stiff...,0.531071,0.691888,0.864059
"... 그야말루 돌연변이다, 돌연변이 ...","... it's a mutation, a mutation ...",0.555023,0.685410,0.803809
죽은건가 ?,Is it dead?,0.665449,0.762282,0.787971
아까 보니깐 쪼금 움직이는거 같던데 ...,"As I saw earlier, it seemed to be moving a little...",0.565992,0.586239,0.769220
"어, 컵 !","Uh, cup!",0.858579,0.858579,0.753068
뭐였냐 그거 ? 어우 씨 재수없어 ...,"What was that? Wow, I can't be luck...",0.496390,0.604157,0.740681
와 - 큰일날 뻔 했다 ... 딸내미가 사준 컵인데 ...,Wow-I almost had a big day... The cup my daughter bought me...,0.638261,0.618139,0.777805
... 애가 벌써 뭘 사줘 ? 혜원이가 올해 여섯 살 아닌가 ?,... What does he already buy? Isn't Hyewon six years old this year?,0.573949,0.588999,0.756569
개가 올해부터 내 생일을 챙긴다니까 ! 참 나 ...,Dogs take care of my birthday from this year! what the ...,0.603112,0.591913,0.733269
... 무야 저거 ?,... What is that?,0.721175,0.721175,0.714183
왜 ?,Why ?,0.776393,0.776393,0.843826
세상에 ...,Oh my gosh ...,0.549308,0.549308,0.729171
진짜 엽기다 엽기 ... 꼭 저따우 짓을 해야만 장가를 가는거냐 ?,It's really bizarre.,0.329888,0.613539,0.921603
"왜 ? 좋구만 ... 찍을땐 저래두, 사진 나온거 보면 멋있다니까.","Why ? It's good... but when you take a picture, it's nice to see pictures.",0.552378,0.637165,0.792193
저런건 사진이 아니라 똥이야 똥 ! 네모난 똥 !,"It's not a picture, it's shit, shit! Square shit!",0.588198,0.717441,0.797348
엄마야 !,Mom!,0.395718,0.559630,0.740365
왜 그래 ?,What is it ?,0.807672,0.850593,0.801741
방금 발등 위로 뭐가 지나갔어 ...,What just passed over the instep...,0.470469,0.649488,0.757087
여기 뱀있나봐 !,Looks like a snake here!,0.644679,0.692864,0.748944
지금 그 포즈 좋습니다 !  알아서들 잘하네 ...,I recommend that pose now! You're good at it...,0.601540,0.581966,0.820664
"야, 뱀은 무슨 ... 한강변에 ...","Hey, what's the snake... on the Han River...",0.575725,0.575725,0.714988
"진짜야, 뭔 축축한게 ... 내 발 위루 스르륵 !","It's real, what's wet... it's on my feet!",0.428835,0.618674,0.831862
"자 - 여기보시고 ! 갑니다 !  하나, 둘 ...",Now-look here! going ! one two ...,0.464835,0.649287,0.809263
"제가 사는 아파트가에, 한남동쪽이라고 아까 말씀 드렸든가 ?","Did I tell you that in the apartment where I live, it's southeastern?",0.554237,0.617368,0.799630
"네 ? ...  네, 했어요.",Yeah ? ...  yes I did.,0.794774,0.766275,0.697529
"어제요 ... 내가 밤에 잠이 안와가꼬, 디비적디비적 하다가 ... ",Yesterday... I can't sleep at night,0.462125,0.621021,0.881866
...  네 ...,...  Yeah ...,1.000000,1.000000,0.843826
"그래가, 베란다 난간에 요래 - 기대가꼬, 흐르는 강물을 딱 - 보는데 말이죠 ...","Yeah, on the porch railing, I can't wait-just look at the flowing river-just to see...",0.583934,0.609883,0.778278
어 ... 어 ...,Uh... Uh...,0.717157,0.717157,0.506135
저 멀리 한남대교 교각이 요래 - 보이는데 ... 교각 아래쪽에 뭐 이상한기 ...,The Hannam Bridge pier is far away-I see it... something strange at the bottom of the pier...,0.609425,0.607377,0.764771
... 에이 씨 ... 바 ...,... A-C ... Bar ...,0.563858,0.563858,0.773335
... 여부터가 진짜 결정적이라예 ! 집중해서 들어야 됩니데이 !,... since it's really decisive! You have to listen with concentration!,0.667509,0.667731,0.790066
"제 카메라가 또 이기 먹어주는 기종이라꼬, 24 배 줌이 되거든요 ...","It's a model that my camera eats again, so it's 24x zoom...",0.539812,0.593048,0.802172
어 ... 어 ...,Uh... Uh...,0.717157,0.717157,0.506135
"이 교각밑에 둘러붙은 그 씨 - 커먼 이상한기, 줌으로 보니가 생생하게 ","The seed around this pier-Common strange, zooming Bonnie vividly",0.552613,0.675915,0.810977
윤사장님 !,Mr. Yoon!,0.441230,0.536830,0.772620
안됩니다 사장님 !,No boss!,0.198875,0.606536,0.888635
윤가 너 왜이러니 ! 부도 첨 나보냐 임마 !,Why are you like this? Do you see me too badly?,0.460632,0.478144,0.774797
... 니들 ... 방금 봤어 ?,... you ... have you just seen it?,0.539997,0.539997,0.684246
뭐 임마 뭐 ? ,What is it?,0.446335,0.472486,0.756351
밑에 말야 ... 물 속에 ...,Underneath... in the water...,0.516045,0.580742,0.761547
뭐 커다란게 ... 물 속으루 시 - 커멓게 이 놈들아 ... 정말 못봤어 ?,"What's the big thing... In the water-Big, these guys... Haven't you seen it?",0.607106,0.632407,0.773229
모르겠는데 ...,I don't know...,0.374917,0.666511,0.846059
으리그 이 ... 끝까지 둔해빠진 새끼들 !,Ugh-leagues... the dull bastards to the end!,0.628221,0.720853,0.759390
...,...,1.000000,1.000000,1.000000
"아무튼 뭐 ...  ... 잘먹구 잘 살아라, 들 ...","Anyway, well... eat well, live well, guys...",0.449247,0.573955,0.797045
가만 ... 아까 동전 있었는데 ...,Wait... I had a coin earlier...,0.437067,0.558048,0.811437
현서 ? 벌써 왔니 ?,Hyunseo? Are you already here?,0.631405,0.579926,0.752556
깨라 쫌 ! 깬김에 !,Awake! Wake up!,0.458063,0.628922,0.818163
아우 ... 아부지 ...,Ow... Abuji...,0.512135,0.739951,0.853275
정신 좀 차려 임마 ! 저기 4번 돗자리에 오징어 한 마리여. 빨리 궈!,"Come on, dude! There is one squid on the mat. Get it fast!",0.515823,0.613873,0.834340
현서야 ! ,Hyunseo!,0.668906,0.889480,0.686526
아 - 아 - 빠 !,Ah-ah-pa!,0.302723,0.490579,0.785051
아으 ... 달지 않냐 ?,Ah... isn't it sweet?,0.692441,0.692441,0.796647
어째 넌 하루에 꼭 하나씩 그걸 그르케 ... 들이키냐 ...,Why do you make it one by one a day... do you catch it...,0.518896,0.611706,0.829934
크 - 아 ... 시원하다  ,Big-ah... it's cool,0.591520,0.523331,0.715800
건더기도 좀 먹지 ...,Eat some of the ingredients...,0.597607,0.643149,0.676533
"이틀전 한강에 투신자살했던 윤창건설 윤창수 사장의 사체가 오늘 오전 7시경,","The body of Yoon Chang-soo, president of Changchang Construction, who committed suicide on the Han River two days ago, was around 7 am today,",0.582856,0.613414,0.759266
아우 끔찍해 ... 왜 아직두 뉴스야 ? 중계 시작할 때 됐는데 ...,"Oh, it's terrible... Why are you still doing the news? It's time to start relaying...",0.619075,0.605398,0.789508
오백오 번 눌러봐 ... 운동 채널.,Press 505 times... workout channel.,0.455242,0.648896,0.810189
아 ! 나온다 !,Ah ! It comes out!,0.528886,0.608099,0.706981
고모 파이팅 ! 아자아자아자 !,Aunt Fighting! Aja aja aja!,0.495220,0.557851,0.766443
