Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
......,,1.000000,1.000000,1.000000
먼지만 보면 짜증나.,calculate at the rubble exist irritate,0.634996,0.667681,0.767410
청소 다시 하겠습니다.,I will make clean once again,0.559353,0.663960,0.778175
청소는 나중에 하고 ... 이거부터 좀 버렸으면 좋겠는데.,complaint get along the cleaning afterward I hope Ive bedevil forth this unity,0.515258,0.653719,0.779714
이거는 ...  포르말리인데 ...,This exist formaly,0.663781,0.638130,0.689399
정확히 ‘포름알데히드’ 죠. 더 정확하게 말하면 ‘먼지낀 포름알데히드’,Its exactlyformaldehyde To comprise more than precisedusty formaldehyde,0.571393,0.650575,0.766133
...,,1.000000,1.000000,1.000000
짜증나. 죄다 싱크대에 갖다 부어버려.,its rag invest it all in the swallow hole and rain buckets it,0.659379,0.704271,0.744212
예?,Yes,0.701027,0.952860,0.693569
전부 폐기처분 하라구요.,Dispose of them all,0.551630,0.566555,0.828188
아니 저 그게 아니라 ... 이건 독국물이라서 규정상 ...,No its not that because its poisonous,0.527688,0.662255,0.827321
그냥 하수구에 부으면 돼요.,just now rain buckets it into the sewerage,0.553755,0.599500,0.763634
하수구에 버리면 한강으루 흘러들어갑니다.,If you confuse it in the toilet it flux into the Han dynasty River,0.557711,0.610795,0.762080
그래요. 한강에다 버리자구.,Yes Lets confound it off the Han dynasty River,0.585695,0.585695,0.725692
"이건 암을 유발하구, 임신 장애두 일으키는 독극물 ...",Its a cancercausing poisoning upset that causes gestation upset,0.610309,0.612204,0.739690
한강 크잖아. 태평양에 오줌 한 번 눴다구 바닷물이 노래지나?,The Han River constitute big wealthy person you make once in the Pacific Ocean,0.539091,0.566908,0.770593
......,,1.000000,1.000000,1.000000
명령대로 해요.,get along it as place,0.710073,0.710073,0.724637
... 뭐야 이게 ? ,what make up this,0.685820,0.685820,0.765921
상당히 찝찝하게 생겼네 ...,It calculate pretty potent,0.585858,0.715800,0.822051
"... 그야말루 돌연변이다, 돌연변이 ...",its a genetic mutation a genetic mutation,0.555023,0.685410,0.803809
죽은건가 ?,constitute it dead,0.665449,0.762282,0.787971
아까 보니깐 쪼금 움직이는거 같던데 ...,As I go steady originally it seemed to represent motivate a little,0.565992,0.586239,0.769220
"어, 컵 !",Uh cup,0.858579,0.858579,0.753068
뭐였냐 그거 ? 어우 씨 재수없어 ...,What personify that scream I slant personify luck,0.547833,0.636780,0.711077
와 - 큰일날 뻔 했다 ... 딸내미가 사준 컵인데 ...,WowI well-nigh sustain a big daytime The loving cup my daughter corrupt me,0.638261,0.618139,0.777805
... 애가 벌써 뭘 사줘 ? 혜원이가 올해 여섯 살 아닌가 ?,What act he already corrupt Isnt Hyewon six years old this class,0.573949,0.588999,0.756569
개가 올해부터 내 생일을 챙긴다니까 ! 참 나 ...,cad subscribe tutelage of my natal day from this class what the,0.603112,0.591913,0.733269
... 무야 저거 ?,What personify that,0.721175,0.721175,0.714183
왜 ?,Why,0.776393,0.776393,0.843826
세상에 ...,Oh my gosh,0.549308,0.549308,0.729171
진짜 엽기다 엽기 ... 꼭 저따우 짓을 해야만 장가를 가는거냐 ?,Its truly bizarre,0.287904,0.606418,0.923266
"왜 ? 좋구만 ... 찍을땐 저래두, 사진 나온거 보면 멋있다니까.",Why Its trade good but when you look at a depiction its nice to understand mental picture,0.552378,0.637165,0.792193
저런건 사진이 아니라 똥이야 똥 ! 네모난 똥 !,Its not a video its diddley dirt foursquare dirt,0.588198,0.717441,0.797348
엄마야 !,mummy,0.448914,0.502510,0.736524
왜 그래 ?,What make up it,0.807672,0.850593,0.801741
방금 발등 위로 뭐가 지나갔어 ...,What hardly make it over the instep,0.548516,0.599469,0.748150
여기 뱀있나봐 !,Looks like a serpent here,0.644679,0.692864,0.748944
지금 그 포즈 좋습니다 !  알아서들 잘하네 ...,I commend that amaze instantly Youre good at it,0.601540,0.581966,0.820664
"야, 뱀은 무슨 ... 한강변에 ...",Hey whats the serpent on the Han dynasty River,0.575725,0.575725,0.714988
"진짜야, 뭔 축축한게 ... 내 발 위루 스르륵 !",Its material whats wet its on my foundation,0.564156,0.602145,0.817084
"자 - 여기보시고 ! 갑니다 !  하나, 둘 ...",Nowlook hither extend one two,0.517540,0.620988,0.796623
"제가 사는 아파트가에, 한남동쪽이라고 아까 말씀 드렸든가 ?",Did I state you that in the apartment where I live its southeastern,0.554237,0.617368,0.799630
"네 ? ...  네, 했어요.",Yeah yes I make out,0.794774,0.766275,0.697529
"어제요 ... 내가 밤에 잠이 안와가꼬, 디비적디비적 하다가 ... ",Yesterday I slant sleep at nighttime,0.457303,0.601276,0.854221
...  네 ...,Yeah,1.000000,1.000000,0.843826
"그래가, 베란다 난간에 요래 - 기대가꼬, 흐르는 강물을 딱 - 보는데 말이죠 ...",Yeah on the porch train I cant waitjust looking at at the fall riverjust to run into,0.583934,0.609883,0.778278
어 ... 어 ...,Uh Uh,0.717157,0.717157,0.506135
저 멀리 한남대교 교각이 요래 - 보이는데 ... 교각 아래쪽에 뭐 이상한기 ...,The Hannam bridge circuit dock constitute far awayI go out it something strange at the underside of the dock,0.609425,0.607377,0.764771
... 에이 씨 ... 바 ...,AC cake,0.563858,0.563858,0.773335
... 여부터가 진짜 결정적이라예 ! 집중해서 들어야 됩니데이 !,since its really decisive You give birth to listen with compactness,0.667509,0.667731,0.790066
"제 카메라가 또 이기 먹어주는 기종이라꼬, 24 배 줌이 되거든요 ...",Its a poser that my tv camera eat on once more thusly its 24x rapid climb,0.539812,0.593048,0.802172
어 ... 어 ...,Uh Uh,0.717157,0.717157,0.506135
"이 교각밑에 둘러붙은 그 씨 - 커먼 이상한기, 줌으로 보니가 생생하게 ",The ejaculate around this pierCommon unusual zooming Bonnie vividly,0.552613,0.675915,0.810977
윤사장님 !,Mr Yoon,0.441230,0.536830,0.772620
안됩니다 사장님 !,No foreman,0.390219,0.569506,0.808500
윤가 너 왜이러니 ! 부도 첨 나보냐 임마 !,Why live you like this brawl you check me likewise ill,0.526489,0.526489,0.742473
... 니들 ... 방금 봤어 ?,you take in you hardly project it,0.539997,0.539997,0.684246
뭐 임마 뭐 ? ,What embody it,0.599451,0.522502,0.790956
밑에 말야 ... 물 속에 ...,Underneath in the urine,0.592037,0.643019,0.732239
뭐 커다란게 ... 물 속으루 시 - 커멓게 이 놈들아 ... 정말 못봤어 ?,Whats the big thing In the waterBig these guy Havent you get word it,0.607106,0.632407,0.773229
모르겠는데 ...,I dont be intimate,0.643580,0.673625,0.712574
으리그 이 ... 끝까지 둔해빠진 새끼들 !,Ughleagues the dull illegitimate to the remnant,0.628221,0.720853,0.759390
...,,1.000000,1.000000,1.000000
"아무튼 뭐 ...  ... 잘먹구 잘 살아라, 들 ...",anyways well eat well alive well cat,0.467857,0.565796,0.796924
가만 ... 아까 동전 있었는데 ...,time lag I sustain a coin originally,0.549238,0.652125,0.744081
현서 ? 벌써 왔니 ?,Hyunseo Are you already hither,0.631405,0.579926,0.752556
깨라 쫌 ! 깬김에 !,Awake viewing up,0.566058,0.621055,0.784155
아우 ... 아부지 ...,Ow Abuji,0.512135,0.739951,0.853275
정신 좀 차려 임마 ! 저기 4번 돗자리에 오징어 한 마리여. 빨리 궈!,semen on dandy There cost one calamari on the mat Get it fast,0.546218,0.617491,0.812559
