Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
왜 그러냐. 눈치들이 없어.,Why is that? There are no notices.,0.618510,0.675451,0.714424
대가리 다 털렸습니다. ,I've got it all.,0.576861,0.730534,0.855892
그 젊은 놈한테? 아이 꼭 내가 나서야 되냐~ ,To that young guy? Do I really have to go out?,0.496712,0.608249,0.803813
홀쭉이한테 연락 좀 해라. ,Please contact me.,0.500052,0.665835,0.838942
에이 잠깐만 기다려봐. 칼 내려놓고. ,Wait a minute. Put the knife down.,0.482405,0.584107,0.807579
뵙게 되서 영광입니다. ,It is an honor to see you.,0.472340,0.615222,0.806200
저.. 금연인데요. ,I... It's no smoking.,0.566670,0.617188,0.732835
출발이나 해 임마! 콜록..  ,Let's go! Colo...,0.366888,0.605228,0.854051
사람들이 왜 도박을 하냐구요? 글쎄요.. 대부분 스릴 때문에 한다고 하잖아요? 따느냐 잃느냐. 근데 정말 그럴까요? 어느 날 고니가 얘기해 주더라고요. 사람들이 도박을 왜 하는지. ,"Why do people gamble? Well, you say most of them are thrilling, right? Follow or lose. But really? One day Connie told me. Why people gamble.",0.442294,0.561289,0.855538
첫패가 뭐예요? ,What is the first hand?,0.668677,0.673660,0.720167
1. ,1. ,0.000000,0.000000,0.000000
뒷패가 바로 사장님 운명이다 이 말씀이에요. 봐요. ,This is what the back plate is the boss's destiny. see.,0.530527,0.605433,0.787132
사꾸라. ,Sakura.,0.524930,0.524930,0.776763
1+3 네끗. 사장님 운명이 네끗이구만. 그런데.. 내가 운명을 바꿉니다. ,1+3 clean. The boss's fate is clean. By the way... I change my destiny.,0.502152,0.657145,0.840287
1땡! 나는 딴 돈에 반만 가져가요. ,1 ding! I only take half the money.,0.575641,0.708185,0.801271
반요? ,Half?,0.513067,0.603012,0.586786
너무 싸죠? ,Is it too cheap?,0.637679,0.637679,0.732959
아닙니다. 헤헤.. ,no. Hehe..,0.283339,0.549541,0.868897
요쪽 모텔들이 제거고 요쪽 후진 모텔들 가진 놈이 아주 질이 안 좋은 놈이에요. 오늘 한번 부탁드립니다. 아 참.. 제가 듣기에 꾼들은 판 벌이기전에 이거  한번 해야 끗발 붙는다던데... 준비할까요? ,The ones with these motels removed and the ones with reverse motels are very poor. Thank you once today. Ah.. I heard that the workers had to do this once before they sold it.,0.464153,0.605888,0.821714
됐어요. ,That's Okay.,0.571694,0.571694,0.732481
아~ 애인이 있으신가? ,Ah~ do you have a lover?,0.648456,0.648456,0.610444
고니를 아냐구요? 내가 본 타짜 중에 최고예요. ,You don't know Connie? It's the best I've ever seen.,0.549632,0.625267,0.819065
야 김사장 왜 이렇게 늦었어? 돈 구해오느라 늦었냐? ,"Hey, why is it so late? Are you late to save money?",0.449034,0.564018,0.812000
야 이놈아 한강물이 마르면 말랐지 내 돈이 마르냐?,"Hey, when the Han River is dry, my money is dry?",0.484971,0.513967,0.831216
하이구야 끽해야 여관 몇 개 가진 놈이.. ,A guy with a few inns...,0.355401,0.610810,0.863695
오늘은 우리 조카도 칠거야. ,Today we are going to play our niece.,0.606646,0.606646,0.756752
어 나도 오늘 우리 조카 데려왔는데. 조카!,"Uh, I brought my nephew today. nephew!",0.508514,0.648124,0.821371
어 좋다. 빨리들 벗고 앉읍시다. 빨리 빨리. ,Uh good. Let's take off and sit down quickly. quickly.,0.671256,0.684415,0.756516
빨리.. 자 돈들 꺼내시고.. 1억씩이죠.. 패 돌아갑니다. 개평 없고 속이기 없고 상한선 없고. 아싸 첫 패 좋고.. 뒷장아 붙어라 붙어라~ 붙었다! ,"Quickly... take out the money... 100 million.. go back. No review, no deception, no upper limit. Ah, the first hand is good.",0.480464,0.643708,0.844897
5천. ,"5,000.",0.000000,0.000000,0.000000
첫판부터? 삼촌 오늘 저 말리지 마세요. 5천 받아. ,"From the first edition? Uncle Don't dry me today. Take 5,000.",0.572355,0.576909,0.785171
합이 1억. ,The sum is 100 million.,0.459638,0.714882,0.824191
아니 아니 말리지마세요. 1억 받아. ,No no don't dry Take 100 million.,0.541920,0.599800,0.806249
다섯끗밖에 안돼? ,Only five?,0.384122,0.706925,0.835085
.. 음...  ,.. Well...,0.156956,0.393111,0.705858
오늘은 운이 안좋으셔서. ,I'm not so lucky today.,0.587506,0.632275,0.795846
간만 본건데.. 저 인간..  타짭니다. ,I've only seen the liver... that human... burns.,0.584476,0.565209,0.740854
크크크 타짜를 데리고 와도 나한텐 안돼. 내일은 화투패 하나 만들어오세요. ,"I can't do it to me, even if I bring a kirk tajja. Please make a fight for tomorrow.",0.548271,0.600742,0.803030
어떻게?,how?,0.262999,0.448712,0.711514
이렇게 1.3.5.7.9 순서로. ,In this order 1.3.5.7.9.,0.456124,0.683000,0.888879
1.3.5.7.9.. ,1.3.5.7.9.. ,0.000000,0.000000,0.000000
"내일 막판에 저놈이 5땡을 잡고 내가 7땡을 잡을 겁니다. 내가 신호주면, 슬쩍 술을 흘리시고, 그때 준비해둔 탄으로 싹~ 바꿔서 수채구멍에 숨기면.. ","At the end of the day, that guy will catch 5 dots and I will catch 7 dots. If I give a signal, I pour a drink, and then turn it into a prepared bullet and hide it in the sink hole...",0.581491,0.635119,0.804647
1억 밀어넣고.,Push 100 million.,0.587863,0.750799,0.720551
막판 하지 뭐. 올인. ,Last minute. All-in.,0.471303,0.586968,0.814549
올인 콜. ,All-in call.,0.795363,0.795363,0.834585
7땡! ,7 ding!,0.565685,0.900000,0.811416
9땡! ,9 ding!,0.440377,0.735592,0.911655
컥.,컥.,0.000000,0.000000,0.000000
운좋은 과부 앉아도 오강꼭지고 넘어져도 가지밭이라더니 운 좋네. 막판에 9가 뜨고. ,"Even if I sit down with a lucky widow, I am fortunate to say that it is an eggplant field. 9 is on the last minute.",0.600481,0.570877,0.767569
내일 한판 더 해. ,Do another bout tomorrow.,0.633245,0.582109,0.745204
모텔 또 하나 팔라구? ,Are you selling another motel?,0.531521,0.548571,0.697817
"아~ 약속을 지키자니 돈이 울고, 돈을 지키자니 약속이 울고. 캬~ 담에 봅시다. ","Ah~ To keep the promise, the money will cry, To keep the promise, the promise will cry. Hey~ Let's see it on the wall.",0.570939,0.589228,0.716271
5땡으로 만들어준대매 어떻게 그런 실수를?,How did you make that mistake?,0.509565,0.684745,0.859810
1.3.5.7.9로 느래니까 병신같이 그걸 똑바로 못하고 5랑 9를 바꿔놔? ,"It's slow to 1.3.5.7.9, so you can't straighten it like an asshole.",0.482219,0.612593,0.870684
1.3.9.7.5.? 아~ ,1.3.9.7.5.? Oh~,0.057735,0.479554,0.940439
에이. 재수없게. ,a. Unlucky.,0.644951,0.701512,0.811482
꽃 좀 칩디다. ,It's a little flowery.,0.542819,0.538345,0.695736
우리집 화단에 꽃이 없어서 마음속에 꽃 한 송이 넣어 다니지요. ,"There are no flowers in my flower bed, so I put a flower in my heart.",0.510473,0.549332,0.786239
어떻게 넌 항상 늦냐? ,How are you always late?,0.461632,0.632847,0.777815
좁아. 절로 가. ,Narrow. Go to clause.,0.562014,0.572099,0.807016
거기서 약속이 있다 그러면 어떻게 해? 며칠 더 해야지. ,There is an appointment there. I have to do a few more days.,0.567719,0.628098,0.765851
약속도 있고. 홀쭉이 차 모는 기사애가 눈치 깐 것 같더라고. ,I have an appointment. I seemed to have noticed a driver driving a car.,0.583310,0.568609,0.758989
그걸 어떻게 알아? ,How do you know that?,0.532334,0.568087,0.720084
요것들이 남에 동네 와서 장난질이야. 피 볼래? 돈 놓고 갈래? ,These things come to the neighborhood and play around. Do you want blood? Would you like to leave money?,0.549927,0.577035,0.761855
나 먼저 탈게. 고니야! ,I'll ride first. Connie!,0.588346,0.639810,0.747291
응. ,Huh.,0.539445,0.539445,0.476177
빨리 끝내라. 자식들 돈이 인생의 전부가 아닌데 거 참. ,End quickly. Children's money is not everything in life.,0.623808,0.712554,0.794653
벌써 끝났어? ,Are you done already?,0.673568,0.640773,0.683090
튀어요. ,Bounce.,0.464370,0.599541,0.721106
돈이 인생의 전부가 아니다?,Money is not everything in life?,0.632239,0.643532,0.725529
틀린 말은 아니잖아.,It's not wrong.,0.575036,0.644671,0.872811
그건 부자들이나 하는 얘기지. 크크,That's what rich people say. haha,0.426661,0.664702,0.779809
크크크.. 근데 무슨 약속? ,Kkek... But what promise?,0.587418,0.602108,0.778265
... 사람 하나 죽여야 돼. ,... I have to kill one person.,0.519741,0.575276,0.743133
고니야! 너도 가자. ,Connie! Let's go too.,0.729257,0.734472,0.792878
가서 드세요. ,Go eat.,0.543013,0.617087,0.833528
놔둬. 쟤 주머니에 한번 돈 들어가면 안 나오는 애야. ,Leave it. 안 He doesn't come out of his pocket once.,0.479656,0.534373,0.793843
고니야! 사장님이 박카스 두박스만 사오란다. ,Connie! The boss only buys two boxes of Bacchus.,0.600709,0.666441,0.789193
예. ,Yes.,0.701027,0.952860,0.693569
퇴근해.,I leave work.,0.653645,0.653645,0.661172
예. ,Yes.,0.701027,0.952860,0.693569
왜 너도 치게? ,Why are you hitting?,0.645080,0.657370,0.767089
아~뇨. 싱숭생숭해서 구경이나 하다 갈라구. ,"Ah~no. I'm so happy, so I'm watching.",0.423278,0.617128,0.851611
얌마 일끝나면 공부해서 대학이라도 가야지 젊은 놈이. ,You should study and go to college when you're done.,0.489375,0.668302,0.862230
"에이 춘재형, 대학졸업해서 돈 벌던 시대는 갔어요. ","A Chun Jae-hyung, the era of earning money by graduating from college was gone.",0.562431,0.654563,0.748607
돈 있으면 앉든가. ,"If you have money, sit down.",0.671756,0.671756,0.686672
껴도 돼요? ,Can I wear it?,0.804727,0.645208,0.686751
너 화투 칠줄 아냐? ,Are you not good at fighting?,0.575928,0.575928,0.787966
아따! 밑도 못딱음서 똥 싸러 왔을까봐? ,Ah! Maybe it's hard to get down and come over to shit?,0.619679,0.602668,0.734643
섯다! 두장의 숫자를 합쳐 그 끗수로 겨루는 거잖아요. ,Seotda! You're competing with the numbers by combining the two numbers.,0.573990,0.575943,0.755761
다 잃었어? 얼마나 잃은거야? ,Are you lost? How much are you lost?,0.574960,0.574960,0.672421
몰라요. ,I do not know.,0.488693,0.585267,0.795438
미친년 널뛰듯이 막 질러대니까 그러지. ,It's because I'm just screaming like a crazy bitch.,0.590178,0.684397,0.775130
