어? 저 사람 또 왔네..?,uh? Is he here again?,0.493115
누구요?,Who is it?,0.653287
미치겠네 진짜... 세워봐.,It's crazy. Really ... Stand up.,0.674172
예?,Yes?,0.714435
차 세워보라고!,Stop the car!,0.457821
감사합니다...,Thank you...,0.460875
어떻게.. 들어가서 얘기하시죠..,How do you ... go in and talk ...,0.573014
아니요.. 괜찮아요.. 여기가 좋은데요... 그냥 몇 가지만 여쭈어 보려고 온 거니까..,No .. It's okay .. I like it here ... I just came to ask a few questions ...,0.548402
예... 그러세요..,Yes ... yes ...,0.687225
어떻게 장례는 잘 치렀죠?,How did you have a good funeral?,0.613273
예..,Yes..,0.714435
저도 한번 가보려고 했는데.. 최근들어 계속 사건이 많다 보니까..,"I tried to go there too. Recently, there have been many incidents ...",0.570734
수사는 완전히 종결이 된 건가요?,Is the investigation completely over?,0.636303
예?,Yes?,0.714435
수사는 종결 된 건가요?,Is the investigation over?,0.618602
"... 예, 뭐 전화로 말씀드렸다시피...","... Yes, as I said on the phone ...",0.470675
잘 납득이 안가네요. 제대로 밝혀진 것도 없는데.,I'm not very convinced. Nothing has been revealed properly.,0.643674
"아니, 납득이 안 가다니요...? 저도... 아버님 입장 충분히 이해가 갑니다. 보통 자식이 그런 일을 당하면 모든 부모님들, 아버님하고 똑같이 이렇게 납득을 못하세요. 이해 갑니다. 근데 아드님 일이 심적인 문제에서 비롯된 건데... 저희가 그 심리를 어떻게 알겠어요... 그렇잖아요?","No, you don't understand ...? I ... I understand my father's position. Normally, when a child has such a thing, he is not convinced like all parents and father. I understand. But your son's job comes from a psychological problem ... how do we know the psychology ... right?",0.570862
그래도 뭔가 구체적인 이유가 있을 거 아닙니까?,Is there any specific reason for that?,0.539606
"뭐, 요즘 애들 예전 같지 않아요. 이번 달에만 자살신고가 몇 건이나 접수됐는지 몰라요. 셀 수도 없어요. 근데 자살이유 보면 다 어처구니가 없어요. 성적비관부터 해서 여자 친구 문제... 정말 이유 같지도 않은 이유로 그런 선택을 해요...","Well, these days, the kids are not the same. I don't know how many suicide reports were filed this month. I can't count. But when it comes to suicide reasons, it's all ridiculous. I'm starting with sexual pessimism, and it's my girlfriend's problem.",0.603241
... 그런 일은 아니잖습니까?,... Isn't that so?,0.561152
예... 아니죠... 저는 그냥 예를 든 거고... 근데 유서에도 써져 있잖아요. 힘들다. 더 이상 못 버티겠다. 죄송하다. 보셨잖아요. 아니 근데 그걸 우리보고 살인사건 수사하라는 듯이 원인 규명하라고 하시면 안 되죠. 저희가 심리학자도 아니고... 그렇잖아요. 예? ,"Yes ... no ... I'm just an example ... but it's written in the will. Hard. I can't stand it anymore. sorry. You saw it. No, but you can't tell us to investigate the cause as if we were to investigate the murder. We're not even psychologists ... right. Yes?",0.552735
...,...,0.000000
잠시만 기다려 주세요. 잠시 만요. ,Please wait. Wait.,0.319066
형사님...,Detective ...,0.713561
예?,Yes?,0.714435
그냥 가보겠습니다.,Let's just go.,0.571868
"야 베키! 거기서 혼자 뭐해. 일루와, 임마.","Hey Becky! What are you doing there alone? Illuwa, dude.",0.589440
야!  쟤 왜 안하던 짓하고 그래?,Hey! Why are you doing what you didn't do?,0.639892
"그냥, 냅둬. 혼자 있고 싶은가 보지.",Just leave it alone. Maybe you want to be alone.,0.649540
뭔 일 있었어?,What happened?,0.570905
뭔 일은...,Something ...,0.590137
근데 왜 그래...? 어?,But why is that ...? uh?,0.682976
뭐가 왜 그래야?,What and why?,0.428495
분위기 이상하잖아... 너네끼리 뭔 일 있었던 거 아니야?,The atmosphere is strange ... Isn't there something between you?,0.659113
그런 거 없어... ,Nothing like that ...,0.854328
... ,... ,0.000000
"야, 종 쳤어. 너네 반으로 가. 신경 쓰지말고.","Hey, I hit the bell. Go to your class. Don't mind.",0.610876
"얼른 올라가, 뭐해?","Go up quickly, what are you doing?",0.583989
무슨 일 때문에 오셨죠?,What are you doing for?,0.482895
예...,Yes...,0.714435
학부모세요?,Are you a parent?,0.600316
예... 선생님 뵙고 싶어서 그런데...,"Yes ... I want to see you, but ...",0.508785
지금 방학이라 안계시죠.,You are not on vacation now.,0.512848
...,...,0.000000
행정실로 한번 가보세요. 급한 일이시면 그쪽 가서 한번 통화라도 해보세요.,"Go to the administrative office. If it's urgent, go over there and make a call.",0.583072
어디로 가면 되죠...?,Where can I go ...?,0.402546
